date,total_posts,avg_sentiment_score,positive_count,negative_count,neutral_count,sentiment_ratio
2026-03-30,0,0.0,0,0,0,0.0
2026-03-29,251,0.8486,213,0,38,0.8486
2026-03-27,249,0.9036,225,0,24,0.9036
2026-03-26,241,0.9212,222,0,19,0.9212
2026-03-25,0,0.0,0,0,0,0.0
2026-03-24,200,0.915,183,0,17,0.915
2026-03-23,250,0.892,223,0,27,0.892
2026-03-22,250,0.904,226,0,24,0.904
2026-03-21,251,0.8964,225,0,26,0.8964
2026-03-20,234,0.9145,214,0,20,0.9145
2026-03-19,248,0.879,218,0,30,0.879
2026-03-18,3,1.0,3,0,0,1.0
2026-03-17,6,1.0,6,0,0,1.0
2026-03-15,4,1.0,4,0,0,1.0
2026-03-14,1,1.0,1,0,0,1.0
2026-03-12,3,1.0,3,0,0,1.0
2026-03-11,3,1.0,3,0,0,1.0
2026-03-10,3,1.0,3,0,0,1.0
2026-03-09,1,1.0,1,0,0,1.0
2026-03-07,3,1.0,3,0,0,1.0
2026-03-06,3,1.0,3,0,0,1.0
2026-03-05,1,1.0,1,0,0,1.0
2026-03-04,5,1.0,5,0,0,1.0
2026-03-03,4,1.0,4,0,0,1.0
2026-03-02,3,1.0,3,0,0,1.0
2026-03-01,3,1.0,3,0,0,1.0
2026-02-28,3,1.0,3,0,0,1.0
2026-02-27,4,1.0,4,0,0,1.0
2026-02-25,2,1.0,2,0,0,1.0
2026-02-24,2,1.0,2,0,0,1.0
2026-02-23,2,1.0,2,0,0,1.0
2026-02-22,1,1.0,1,0,0,1.0
2026-02-21,1,1.0,1,0,0,1.0
2026-02-20,1,1.0,1,0,0,1.0
2026-02-19,1,1.0,1,0,0,1.0
2026-02-18,4,1.0,4,0,0,1.0
2026-02-17,2,1.0,2,0,0,1.0
2026-02-16,1,1.0,1,0,0,1.0
2026-02-15,3,1.0,3,0,0,1.0
2026-02-14,5,0.8,4,0,1,0.8
2026-02-13,2,1.0,2,0,0,1.0
2026-02-12,5,1.0,5,0,0,1.0
2026-02-11,5,1.0,5,0,0,1.0
2026-02-10,1,1.0,1,0,0,1.0
2026-02-08,4,1.0,4,0,0,1.0
2026-02-07,1,1.0,1,0,0,1.0
2026-02-06,2,1.0,2,0,0,1.0
2026-02-05,2,1.0,2,0,0,1.0
2026-02-03,5,1.0,5,0,0,1.0
2026-02-01,4,1.0,4,0,0,1.0
2026-01-31,4,1.0,4,0,0,1.0
2026-01-30,3,1.0,3,0,0,1.0
2026-01-28,2,1.0,2,0,0,1.0
2026-01-27,3,1.0,3,0,0,1.0
2026-01-26,2,1.0,2,0,0,1.0
2026-01-24,2,1.0,2,0,0,1.0
2026-01-23,3,1.0,3,0,0,1.0
2026-01-22,4,1.0,4,0,0,1.0
2026-01-21,3,1.0,3,0,0,1.0
2026-01-20,5,1.0,5,0,0,1.0
2026-01-19,1,1.0,1,0,0,1.0
2026-01-18,1,1.0,1,0,0,1.0
2026-01-17,3,1.0,3,0,0,1.0
2026-01-15,2,1.0,2,0,0,1.0
2026-01-14,5,1.0,5,0,0,1.0
2026-01-12,2,1.0,2,0,0,1.0
2026-01-11,1,1.0,1,0,0,1.0
2026-01-10,3,1.0,3,0,0,1.0
2026-01-08,2,1.0,2,0,0,1.0
2026-01-07,5,1.0,5,0,0,1.0
2026-01-06,3,1.0,3,0,0,1.0
2026-01-05,4,1.0,4,0,0,1.0
2026-01-02,2,0.5,1,0,1,0.5
2026-01-01,3,0.6667,2,0,1,0.6667
2025-12-31,6,1.0,6,0,0,1.0
2025-12-30,4,0.75,3,0,1,0.75
2025-12-29,1,0.0,0,0,1,0.0
2025-12-28,1,1.0,1,0,0,1.0
2025-12-27,1,1.0,1,0,0,1.0
2025-12-24,2,1.0,2,0,0,1.0
2025-12-23,1,1.0,1,0,0,1.0
2025-12-22,2,1.0,2,0,0,1.0
2025-12-21,1,1.0,1,0,0,1.0
2025-12-20,2,1.0,2,0,0,1.0
