timestamp,best_bid,best_ask,bid_volume,ask_volume,mid_price,spread,last_trade_price,last_trade_volume
1773962730893,2139.9,2139.93,0.241,0.476,2139.915,0.02999999999974534,2139.82,0.41422153
1773962738812,2139.52,2139.79,8.857,0.476,2139.6549999999997,0.2699999999999818,2139.82,0.41422153
1773962748618,2140.16,2140.26,0.535,0.014,2140.21,0.1000000000003638,2140.26,0.46139433
1773962851554,2140.12,2140.13,1.826,5.183,2140.125,0.010000000000218279,2139.7,0.00452663
1773962859150,2140.22,2140.23,1.826,8.928,2140.225,0.010000000000218279,2140.23,0.062051
1773962869075,2140.73,2140.74,2.287,1.841,2140.7349999999997,0.009999999999763531,2140.74,0.02268641
1773962880230,2140.99,2141.0,4.69,0.982,2140.995,0.010000000000218279,2140.73,0.00055157
1773962892925,2142.18,2142.44,0.047,0.172,2142.31,0.2600000000002183,2142.37,0.001
1773962899130,2142.07,2142.08,1.826,0.023,2142.075,0.009999999999763531,2142.34,0.001
1773962909121,2142.62,2142.71,0.46,0.535,2142.665,0.09000000000014552,2142.71,0.001
1773962919137,2142.64,2142.77,0.583,0.588,2142.705,0.13000000000010914,2143.57,0.67279735
1773962929145,2143.24,2143.52,0.543,30.391,2143.38,0.2800000000002001,2143.58,0.11434051
1773962939154,2142.99,2143.16,1.826,7.056,2143.075,0.17000000000007276,2143.43,0.001
1773962949172,2143.43,2143.56,1.826,1.864,2143.495,0.13000000000010914,2143.43,0.001
1773962959171,2143.19,2143.43,1.826,0.046,2143.31,0.23999999999978172,2143.38,0.001
1773962969173,2143.13,2143.39,0.531,0.046,2143.26,0.25999999999976353,2143.26,1.82
1773962979187,2142.94,2143.12,1.826,1.277,2143.0299999999997,0.1799999999998363,2143.05,1.82
1773962989200,2143.02,2143.1,1.826,0.634,2143.06,0.07999999999992724,2143.03,1.82
1773962999227,2142.77,2142.98,7.748,0.046,2142.875,0.21000000000003638,2143.09,1.82531
1773963009218,2143.01,2143.02,99.772,0.097,2143.0150000000003,0.009999999999763531,2143.09,1.82531
1773963019280,2144.87,2144.88,2.209,1.864,2144.875,0.010000000000218279,2145.1,1.70257167
1773963029228,2144.49,2144.66,1.66,7.052,2144.575,0.17000000000007276,2144.53,1.65
1773963039241,2143.75,2143.98,7.46,0.046,2143.865,0.2300000000000182,2144.53,1.65
1773963049238,2143.89,2143.91,1.66,0.118,2143.8999999999996,0.01999999999998181,2144.53,1.65
1773963059250,2143.41,2143.67,3.331,0.543,2143.54,0.2600000000002183,2143.4,0.03441038
1773963069271,2141.74,2142.16,0.692,8.622,2141.95,0.42000000000007276,2143.4,0.03441038
1773963079306,2141.54,2141.55,0.692,8.436,2141.545,0.010000000000218279,2141.67,0.04694934
1773963089284,2141.37,2141.62,11.311,0.115,2141.495,0.25,2141.67,0.04694934
1773963099338,2141.38,2141.53,0.692,0.042,2141.455,0.15000000000009095,2141.53,0.00431072
1773963109311,2141.29,2141.51,9.927,0.042,2141.4,0.22000000000025466,2141.53,0.00915604
1773963119341,2140.27,2140.28,28.319,3.0,2140.275,0.010000000000218279,2140.27,0.00672
1773963129324,2141.24,2141.51,0.509,0.541,2141.375,0.27000000000043656,2141.24,0.00887811
1773963139352,2141.54,2141.65,23.355,0.553,2141.5950000000003,0.11000000000012733,2141.67,0.009331
1773963149349,2140.82,2141.09,10.82,0.477,2140.955,0.2699999999999818,2141.12,0.004656
1773963159350,2140.6,2140.61,0.588,3.0,2140.605,0.010000000000218279,2139.68,0.001
1773963169594,2139.85,2139.9,12.183,0.021,2139.875,0.0500000000001819,2139.91,1.11077792
1773963179398,2139.34,2139.48,2.0,0.263,2139.41,0.13999999999987267,2139.9,0.52
1773963189472,2139.74,2140.03,1.167,1.113,2139.885,0.29000000000041837,2139.42,1.36132262
1773963199408,2139.65,2139.79,3.397,1.277,2139.7200000000003,0.13999999999987267,2139.34,2.0
1773963209456,2138.53,2138.54,1.795,3.003,2138.535,0.009999999999763531,2138.74,1.999
1773963219412,2138.49,2138.5,0.525,0.003,2138.495,0.010000000000218279,2138.47,0.001
1773963229404,2138.82,2138.91,13.562,0.496,2138.865,0.08999999999969077,2139.18,13.647
1773963239452,2139.02,2139.03,37.528,0.003,2139.025,0.010000000000218279,2138.88,0.001
1773963249491,2138.88,2138.89,16.279,0.003,2138.885,0.009999999999763531,2138.88,0.00379257
1773963259443,2139.01,2139.02,38.328,0.027,2139.0150000000003,0.009999999999763531,2139.02,0.01322402
1773963269446,2139.02,2139.03,17.833,2.387,2139.025,0.010000000000218279,2139.03,0.45498942
1773963279460,2138.92,2139.02,14.456,0.5,2138.9700000000003,0.09999999999990905,2138.97,14.447
1773963289527,2138.94,2139.02,5.404,0.193,2138.98,0.07999999999992724,2138.97,0.00935103
1773963299478,2136.55,2136.83,0.588,0.503,2136.69,0.27999999999974534,2136.48,1.5
1773963309586,2135.94,2136.04,0.588,3.015,2135.99,0.09999999999990905,2136.48,1.5
1773963319528,2137.09,2137.21,0.159,0.602,2137.15,0.11999999999989086,2136.53,0.00047308
1773963329495,2137.02,2137.03,36.913,3.0,2137.025,0.010000000000218279,2137.11,0.40295813
1773963339498,2136.93,2136.94,1.98,3.0,2136.935,0.010000000000218279,2136.93,0.001
1773963349516,2136.31,2136.51,13.14,3.488,2136.41,0.20000000000027285,2136.4,0.001
1773963359529,2136.5,2136.51,14.759,3.0,2136.505,0.010000000000218279,2136.5,0.001
1773963369526,2136.5,2136.51,8.977,2.5,2136.505,0.010000000000218279,2136.5,0.001
1773963379541,2136.5,2136.51,38.121,2.5,2136.505,0.010000000000218279,2136.5,0.001
1773963389570,2136.52,2136.54,0.156,0.029,2136.5299999999997,0.01999999999998181,2136.57,0.001
1773963399608,2136.75,2136.76,36.007,0.029,2136.755,0.010000000000218279,2136.76,0.001
1773963409629,2136.55,2136.87,12.124,0.531,2136.71,0.31999999999970896,2136.92,13.4
1773963419584,2136.81,2136.9,10.325,1.773,2136.855,0.09000000000014552,2136.86,0.001
1773963429586,2134.75,2134.76,29.373,2.251,2134.755,0.010000000000218279,2134.76,0.74965686
1773963439590,2135.12,2135.35,0.691,0.015,2135.2349999999997,0.2300000000000182,2134.85,0.001
1773963449605,2135.28,2135.36,1.201,3.0,2135.32,0.07999999999992724,2135.35,0.001
1773963459619,2135.35,2135.36,122.616,2.972,2135.355,0.010000000000218279,2134.76,0.001
1773963469638,2134.8,2134.81,18.914,3.0,2134.8050000000003,0.009999999999763531,2134.8,0.001
1773963479683,2135.41,2135.44,1.197,3.0,2135.425,0.03000000000020009,2135.42,0.001
1773963489715,2135.36,2135.44,1.275,2.989,2135.4,0.07999999999992724,2135.43,0.001
1773963499654,2134.97,2134.98,38.516,0.513,2134.975,0.010000000000218279,2134.97,0.001
1773963509678,2134.38,2134.71,1.055,0.544,2134.545,0.32999999999992724,2134.71,0.00900678
1773963519665,2134.3,2134.31,19.732,2.98,2134.3050000000003,0.009999999999763531,2134.31,0.00303585
1773963529677,2134.54,2134.84,0.692,0.732,2134.69,0.3000000000001819,2134.84,0.73192502
1773963539700,2135.92,2136.17,0.692,0.452,2136.045,0.25,2136.16,0.001
1773963549699,2136.98,2137.22,0.526,1.277,2137.1,0.23999999999978172,2137.19,0.001
1773963559707,2136.49,2136.84,0.692,0.457,2136.665,0.3500000000003638,2135.56,0.02049223
1773963569708,2135.69,2136.02,2.684,7.073,2135.855,0.32999999999992724,2135.9,0.27093221
1773963579722,2135.53,2135.8,0.557,7.074,2135.665,0.2699999999999818,2135.9,0.27093221
1773963589766,2135.21,2135.22,12.073,3.0,2135.215,0.009999999999763531,2134.88,0.00863578
1773963599795,2132.83,2133.02,0.868,0.692,2132.925,0.19000000000005457,2132.06,0.017476
1773963609754,2132.41,2132.62,1.244,3.0,2132.515,0.21000000000003638,2132.59,0.04818321
1773963619760,2132.61,2132.62,63.967,2.933,2132.615,0.009999999999763531,2132.62,0.002345
1773963629764,2132.43,2132.61,16.857,0.588,2132.52,0.18000000000029104,2132.62,0.002345
1773963639867,2132.95,2133.11,0.843,0.588,2133.0299999999997,0.16000000000030923,2133.09,23.442
1773963649911,2133.11,2133.12,16.05,0.588,2133.115,0.009999999999763531,2133.09,23.442
1773963659807,2132.71,2132.72,0.346,5.311,2132.715,0.009999999999763531,2133.09,23.442
1773963669828,2133.34,2133.35,0.489,1.864,2133.3450000000003,0.009999999999763531,2133.34,0.00937707
1773963679876,2134.0,2134.31,15.676,2.343,2134.1549999999997,0.30999999999994543,2134.28,0.09352162
1773963689833,2134.59,2134.6,0.346,9.007,2134.5950000000003,0.009999999999763531,2134.8,0.001
