date,signal,action,algo_price,qty,cash_after,position_units,entry_price,equity,total_return_pct,bh_equity,bh_return_pct,today_posts,posts_ma14,sent_ratio_3d_ago
2026-03-20,long,BUY,0.089215,5604.438715,0.0,5604.438715,0.089215,500.0,0.0,500.0,0.0,252,38.29,1.0
2026-03-20,long,hold,0.08932,0.0,0.0,5604.438715,0.089215,500.5885,0.1177,500.0,0.0,252,38.29,1.0
2026-03-20,long,hold,0.089085,0.0,0.0,5604.438715,0.089215,499.2714,-0.1457,500.0,0.0,234,37.0,1.0
2026-03-21,long,hold,0.089685,0.0,0.0,5604.438715,0.089215,502.6341,0.5268,502.6341,0.5268,251,54.57,1.0
2026-03-21,long,hold,0.08964,0.0,0.0,5604.438715,0.089215,502.3819,0.4764,500.0,0.0,251,54.57,1.0
2026-03-21,long,hold,0.08971,0.0,0.0,5604.438715,0.089215,502.7742,0.5548,500.0,0.0,251,54.57,1.0
2026-03-22,long,hold,0.086205,0.0,0.0,5604.438715,0.089215,483.1306,-3.3739,500.0,0.0,250,72.36,0.879
2026-03-23,long,hold,0.0889,0.0,0.0,5604.438715,0.089215,498.2346,-0.3531,500.0,0.0,250,90.0,0.9145
2026-03-26,long,hold,0.085015,0.0,0.0,5604.438715,0.089215,476.4614,-4.7077,500.0,0.0,241,121.0,0.892
2026-03-27,long,hold,0.081115,0.0,0.0,5604.438715,0.089215,454.604,-9.0792,500.0,0.0,249,138.57,0.915
2026-03-29,flat,SELL,0.08069,5604.438715,452.2222,0.0,0.0,452.2222,-9.5556,500.0,0.0,251,156.29,0.0
